Age;AmtWeekdays;AmtWeekends;EthnicityID;Ethnicity;Gender;GrossIncome;MaritalStatus;NationalityID;Nationality;Qualification;Region;Smoke;Type
38;NA;NA;7;White;Male;2600 to 5200;Divorced;1;British;No Qualification;The North;No;
42;12;12;7;White;Female;Under 2600;Single;1;British;No Qualification;The North;Yes;Packets
40;NA;NA;7;White;Male;28600 to 36400;Married;2;English;Degree;The North;No;
40;NA;NA;7;White;Female;10400 to 15600;Married;2;English;Degree;The North;No;
39;NA;NA;7;White;Female;2600 to 5200;Married;1;British;GCSE/O Level;The North;No;
37;NA;NA;7;White;Female;15600 to 20800;Married;1;British;GCSE/O Level;The North;No;
53;6;6;7;White;Male;Above 36400;Married;1;British;Degree;The North;Yes;Packets
44;NA;NA;7;White;Male;10400 to 15600;Single;2;English;Degree;The North;No;
40;8;8;7;White;Male;2600 to 5200;Single;2;English;GCSE/CSE;The North;Yes;Hand-Rolled
41;12;15;7;White;Female;5200 to 10400;Married;2;English;No Qualification;The North;Yes;Packets
72;NA;NA;7;White;Male;10400 to 15600;Widowed;2;English;No Qualification;The North;No;
49;NA;NA;7;White;Male;Refused;Married;1;British;No Qualification;The North;No;
29;NA;NA;7;White;Male;Above 36400;Married;2;English;Degree;The North;No;
79;NA;NA;7;White;Female;10400 to 15600;Widowed;2;English;No Qualification;The North;No;
25;NA;NA;7;White;Male;15600 to 20800;Single;2;English;Degree;The North;No;
27;NA;NA;7;White;Female;15600 to 20800;Single;2;English;Degree;The North;No;
30;NA;NA;7;White;Female;20800 to 28600;Single;2;English;Degree;The North;No;
47;NA;NA;7;White;Male;10400 to 15600;Divorced;1;British;No Qualification;The North;No;
69;NA;NA;7;White;Female;2600 to 5200;Single;2;English;Other/Sub Degree;The North;No;
55;NA;NA;7;White;Male;20800 to 28600;Married;2;English;No Qualification;The North;No;
34;12;6;7;White;Female;2600 to 5200;Married;1;British;GCSE/CSE;The North;Yes;Packets
36;2;5;7;White;Female;5200 to 10400;Married;2;English;GCSE/O Level;The North;Yes;Packets
56;20;20;7;White;Female;2600 to 5200;Married;2;English;No Qualification;The North;Yes;Packets
71;NA;NA;7;White;Male;Unknown;Divorced;2;English;No Qualification;The North;No;
38;NA;NA;7;White;Female;5200 to 10400;Married;2;English;No Qualification;The North;No;
79;NA;NA;7;White;Female;Under 2600;Married;2;English;No Qualification;The North;No;
58;20;25;7;White;Female;5200 to 10400;Divorced;2;English;No Qualification;The North;Yes;Packets
69;NA;NA;7;White;Female;Under 2600;Married;1;British;No Qualification;The North;No;
83;NA;NA;7;White;Male;2600 to 5200;Widowed;2;English;No Qualification;The North;No;
73;NA;NA;7;White;Female;5200 to 10400;Widowed;2;English;No Qualification;The North;No;
42;15;40;7;White;Female;Refused;Married;1;British;GCSE/O Level;The North;Yes;Packets
31;15;15;7;White;Female;Under 2600;Married;2;English;GCSE/CSE;The North;Yes;Both/Mainly Packets
26;NA;NA;7;White;Male;2600 to 5200;Single;2;English;GCSE/CSE;The North;No;
27;NA;NA;7;White;Female;15600 to 20800;Separated;2;English;Degree;The North;No;
57;NA;NA;7;White;Female;10400 to 15600;Married;2;English;Higher/Sub Degree;The North;No;
30;NA;NA;7;White;Female;2600 to 5200;Married;2;English;ONC/BTEC;The North;No;
22;NA;NA;7;White;Female;5200 to 10400;Single;2;English;A Levels;The North;No;
78;20;20;7;White;Female;Under 2600;Widowed;2;English;No Qualification;The North;Yes;Packets
49;NA;NA;4;Mixed;Female;15600 to 20800;Married;2;English;ONC/BTEC;The North;No;
74;NA;NA;7;White;Male;15600 to 20800;Married;2;English;Other/Sub Degree;The North;No;
85;NA;NA;7;White;Male;20800 to 28600;Widowed;7;Scottish;Degree;The North;No;
75;NA;NA;7;White;Male;Refused;Married;2;English;Other/Sub Degree;The North;No;
80;NA;NA;7;White;Female;2600 to 5200;Widowed;1;British;GCSE/O Level;The North;No;
37;NA;NA;7;White;Female;Under 2600;Married;1;British;Degree;The North;No;
33;NA;NA;7;White;Female;10400 to 15600;Single;1;British;Degree;The North;No;
41;NA;NA;7;White;Male;15600 to 20800;Divorced;2;English;A Levels;The North;No;
81;NA;NA;7;White;Female;2600 to 5200;Widowed;1;British;No Qualification;The North;No;
76;6;6;7;White;Female;2600 to 5200;Widowed;2;English;No Qualification;The North;Yes;Packets
58;NA;NA;7;White;Female;10400 to 15600;Married;1;British;A Levels;The North;No;
59;25;25;7;White;Male;15600 to 20800;Married;2;English;Other/Sub Degree;The North;Yes;Packets
40;4;4;7;White;Female;5200 to 10400;Divorced;2;English;GCSE/O Level;The North;Yes;Packets
54;NA;NA;7;White;Female;10400 to 15600;Divorced;1;British;GCSE/O Level;The North;No;
49;NA;NA;7;White;Male;Above 36400;Married;6;Scottish;Degree;The North;No;
79;NA;NA;7;White;Female;5200 to 10400;Widowed;2;English;No Qualification;The North;No;
28;20;20;7;White;Male;20800 to 28600;Married;1;British;Other/Sub Degree;The North;Yes;Packets
44;NA;NA;7;White;Male;5200 to 10400;Married;2;English;Other/Sub Degree;The North;No;
42;NA;NA;7;White;Female;10400 to 15600;Single;1;British;GCSE/CSE;The North;No;
36;NA;NA;7;White;Female;5200 to 10400;Single;1;British;GCSE/CSE;The North;No;
89;NA;NA;7;White;Male;5200 to 10400;Widowed;1;British;No Qualification;The North;No;
64;NA;NA;7;White;Female;2600 to 5200;Married;1;British;No Qualification;The North;No;
76;NA;NA;7;White;Female;Under 2600;Married;2;English;No Qualification;The North;No;
76;NA;NA;7;White;Female;Under 2600;Married;2;English;No Qualification;The North;No;
61;NA;NA;7;White;Female;2600 to 5200;Married;2;English;No Qualification;The North;No;
81;NA;NA;7;White;Female;5200 to 10400;Widowed;2;English;GCSE/O Level;The North;No;
20;10;20;7;White;Female;2600 to 5200;Single;1;British;No Qualification;The North;Yes;Packets
82;NA;NA;7;White;Female;5200 to 10400;Widowed;2;English;No Qualification;The North;No;
23;10;20;7;White;Female;5200 to 10400;Single;1;British;GCSE/O Level;The North;Yes;Packets
41;NA;NA;7;White;Male;Above 36400;Married;2;English;GCSE/O Level;The North;No;
31;NA;NA;7;White;Female;15600 to 20800;Single;1;British;A Levels;The North;No;
44;0;5;7;White;Female;20800 to 28600;Married;2;English;A Levels;The North;Yes;Packets
42;NA;NA;7;White;Female;10400 to 15600;Married;6;Scottish;Degree;The North;No;
67;20;20;7;White;Male;5200 to 10400;Widowed;1;British;No Qualification;The North;Yes;Packets
53;NA;NA;7;White;Male;20800 to 28600;Married;2;English;Degree;The North;No;
76;NA;NA;2;Black;Male;10400 to 15600;Married;2;English;No Qualification;The North;No;
40;30;30;7;White;Male;2600 to 5200;Married;2;English;Other/Sub Degree;The North;Yes;Hand-Rolled
44;NA;NA;7;White;Male;15600 to 20800;Married;1;British;A Levels;The North;No;
31;20;20;7;White;Female;15600 to 20800;Separated;1;British;GCSE/O Level;The North;Yes;Packets
43;20;20;7;White;Male;2600 to 5200;Divorced;2;English;Other/Sub Degree;The North;Yes;Hand-Rolled
36;NA;NA;7;White;Female;10400 to 15600;Separated;1;British;A Levels;The North;No;
34;NA;NA;7;White;Female;10400 to 15600;Divorced;1;British;GCSE/O Level;The North;No;
18;3;10;7;White;Female;2600 to 5200;Single;2;English;GCSE/O Level;The North;Yes;Packets
56;NA;NA;7;White;Male;5200 to 10400;Married;2;English;No Qualification;The North;No;
73;NA;NA;7;White;Female;Under 2600;Married;1;British;No Qualification;The North;No;
22;20;20;7;White;Female;2600 to 5200;Single;2;English;GCSE/CSE;The North;Yes;Packets
33;NA;NA;7;White;Female;15600 to 20800;Single;2;English;GCSE/CSE;The North;No;
27;0;10;7;White;Male;15600 to 20800;Single;1;British;ONC/BTEC;The North;Yes;Packets
33;NA;NA;7;White;Female;10400 to 15600;Married;1;British;GCSE/O Level;The North;No;
63;NA;NA;7;White;Female;Under 2600;Married;2;English;No Qualification;The North;No;
64;NA;NA;7;White;Female;2600 to 5200;Married;1;British;A Levels;The North;No;
54;NA;NA;7;White;Male;Above 36400;Married;1;British;Degree;The North;No;
34;NA;NA;7;White;Female;Under 2600;Married;2;English;Degree;The North;No;
78;NA;NA;7;White;Male;10400 to 15600;Married;2;English;No Qualification;The North;No;
54;NA;NA;7;White;Female;Under 2600;Married;1;British;No Qualification;The North;No;
56;NA;NA;7;White;Male;28600 to 36400;Separated;2;English;GCSE/CSE;The North;No;
78;NA;NA;7;White;Male;2600 to 5200;Widowed;2;English;No Qualification;The North;No;
37;NA;NA;7;White;Female;5200 to 10400;Married;1;British;A Levels;The North;No;
54;NA;NA;7;White;Male;28600 to 36400;Married;1;British;Degree;The North;No;
40;15;15;7;White;Female;20800 to 28600;Married;1;British;GCSE/O Level;The North;Yes;Hand-Rolled
